"ID"	"PairID"	"BrAttempt"	"EggDate"	"HatchDate"	"ChickGoneDate"	"EggLossDate"	"FailureCause"	"EggCol"	"BreedSucc"	"EggPosX"	"EggPosY"	"EggExact"	"HatchExact"	"FledgeExact"	"ChickMinAge"	"DateEggLost"	"Comment"	"Field15"	"Field16"	"Field17"	"Field18"	"Field19"	"Field20"	"Field21"	"Field22"	"Field23"	"Field24"	"Field25"	"Field26"	"Field27"	"Field28"	"Field29"	"Field30"	"Field31"	"Field32"	"Field33"	"Field34"	"Field35"	"Field36"	"Field37"	"Field38"	"Field39"	"Field40"	"Field41"	"Field42"	"Field43"	"Field44"	"Field45"	"Field46"	"Field47"	"Field48"	"Field49"	"Field50"	"Field51"	"Field52"	"Field53"	"Field54"	"Field55"	"Field56"	"Field57"	"Field58"	"Field59"	"Field60"	"Field61"	"Field62"	"Field63"	"Field64"	"Field65"	"Field66"	"Field67"	"Field68"	"Field69"	"Field70"	"Field71"	"Field72"	"Field73"	"Field74"	"Field75"	"Field76"	"Field77"	"Field78"	"Field79"	"Field80"	"Field81"	"Field82"	"Field83"	"Field84"	"Field85"	"Field86"	"Field87"	"Field88"	"Field89"	"Field90"	"Field91"	"Field92"	"Field93"	"Field94"	"Field95"	"Field96"	"Field97"
1	"Bonden-2-2018-1"	"1"	2018-5-14 00:00:00	2018-6-17 00:00:00	2018-7-6 00:00:00			"Turquoise"	"1"	"108"	"Inner"	"1"	"4"	"2"	"18"		"U stod inte med på parlappen i hyllan"																																																																																			
2	"Bonden-3-2018-1"	"1"	2018-5-10 00:00:00	2018-6-12 00:00:00	2018-7-4 00:00:00			"Turquoise"	"1"	"115"	"Inner"	"1"	"1"	"1"	"22"																																																																																					
3	"Bonden-4-2018-4"	"1"	2018-5-15 00:00:00	2018-6-17 00:00:00	2018-7-11 00:00:00			"Turquoise"	"1"	"101"	"Middle"	"1"	"1"	"1"	"24"																																																																																					
4	"Bonden-6-2018-1"	"1"	2018-5-17 00:00:00	2018-6-20 00:00:00	2018-7-10 00:00:00			"Turquoise"	"1"	"162"	"Inner"	"1"	"1"	"1"	"20"																																																																																					
5	"Bonden-6-2018-2"	"1"	2018-5-26 00:00:00	2018-6-28 00:00:00	2018-7-15 00:00:00			"Turquoise"	"1"	"180"	"Inner"	"1"	"1"	"1"	"17"																																																																																					
6	"Farallon-3-2018-1"	"1"	2018-5-10 00:00:00	2018-6-12 00:00:00	2018-7-4 00:00:00			"Turquoise"	"1"	"100"	"Inner"	"1"	"1"	"1"	"22"																																																																																					
7	"Farallon-3-2018-2"	"1"	2018-5-10 00:00:00	2018-6-12 00:00:00	2018-7-4 00:00:00			"Turquoise"	"1"	"207"	"Inner"	"1"	"1"	"1"	"22"																																																																																					
8	"Farallon-3-2018-5"	"1"	2018-5-13 00:00:00	2018-6-15 00:00:00	2018-7-4 00:00:00			"Turquoise"	"1"	"140"	"Inner"	"1"	"1"	"1"	"19"																																																																																					
9	"Farallon-3-2018-6"	"1"	2018-5-24 00:00:00			2018-6-27 00:00:00		"Turquoise"	"0"	"191"	"Inner"	"1"	"NA"	"NA"	"NA"	2018-6-27 00:00:00	"Ä1 forlorat 27/6"																																																																																			
10	"Farallon-3-2018-7"	"1"	2018-5-24 00:00:00	2018-6-25 00:00:00	2018-7-11 00:00:00			"Turquoise"	"1"	"120"	"Middle"	"1"	"1"	"1"	"16"																																																																																					
11	"Farallon-4-2018-2"	"1"	2018-5-14 00:00:00	2018-6-15 00:00:00	2018-7-5 00:00:00			"Turquoise"	"1"	"181"	"Inner/middle"	"1"	"1"	"1"	"20"																																																																																					
12	"Rost-2-2018-1"	"1"	2018-5-8 00:00:00	2018-6-9 00:00:00	2018-7-4 00:00:00			"Turquoise"	"1"	"116"	"Inner"	"1"	"1"	"1"	"25"																																																																																					
13	"Rost-2-2018-4"	"1"	2018-5-10 00:00:00	2018-6-12 00:00:00	2018-6-26 00:00:00		"Human disturbance"	"Turquoise"	"NA"	"173"	"Inner"	"1"	"1"	"NA"	"NA"		"U hoppade ner till naturlig häckhylla i samband med märkning på Rost 2. Oklart huruvida forälder kommer folja med och ta hand om den eller ej. EJ MED I BERÄKNINGARNA."																																																																																			
14	"Rost-5-2018-1"	"1"	2018-5-10 00:00:00			2018-6-14 00:00:00		"Turquoise"	"0"	"146"	"Middle"	"1"	"NA"	"NA"	"NA"	2018-6-14 00:00:00	"Ä1 forlorat 14/6"																																																																																			
15	"Rost-5-2018-2"	"1"	2018-5-16 00:00:00	2018-6-15 00:00:00	2018-7-7 00:00:00			"Turquoise"	"1"	"160"	"Middle"	"1"	"1"	"1"	"22"																																																																																					
16	"Rost-6-2018-1"	"1"	2018-5-8 00:00:00	2018-6-14 00:00:00	2018-6-28 00:00:00			"Turquoise"	"0"	"100"	"Inner/middle"	"1"	"3"	"1"	"14"																																																																																					
17	"Triangle-1-2018-1"	"1"	2018-5-15 00:00:00			2018-6-8 00:00:00		"Turquoise"	"0"	"200"	"Inner"	"1"	"NA"	"NA"	"NA"	2018-6-8 00:00:00	"Ä1 forlorat 8/6."																																																																																			
18	"Triangle-2-2018-1"	"1"	2018-5-12 00:00:00	2018-6-13 00:00:00	2018-7-4 00:00:00			"Turquoise"	"1"	"167"	"Inner/middle"	"1"	"1"	"1"	"21"																																																																																					
19	"Triangle-3-2018-3"	"1"	2018-6-6 00:00:00			2018-7-6 00:00:00		"Turquoise"	"0"	"222"	"Outer"	"1"	"NA"	"NA"	"NA"	2018-7-6 00:00:00	"Ä1 forlorat 6/7"																																																																																			
20	"Rost-3-2012-2"	"1"	2012-5-7 00:00:00			2012-6-30 00:00:00		"Blue"	"0"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	2012-6-30 00:00:00	"Ä1 forlorat 120630"																																																																																			
21	"Rost-3-2012-1"	"1"	2012-5-9 00:00:00	2012-6-11 00:00:00	2012-6-29 00:00:00			"Blue"	"1"	"NA"	"NA"	"1"	"1"	"1"	"18"																																																																																					
22	"Bonden-4-2018-2"	"1"	2018-5-12 00:00:00	2018-6-15 00:00:00	2018-7-6 00:00:00			"Blue"	"1"	"152"	"Inner/middle"	"1"	"1"	"1"	"21"																																																																																					
23	"Bonden-5-2018-2"	"1"	2018-5-18 00:00:00	2018-6-23 00:00:00	2018-7-11 00:00:00			"Blue"	"1"	"124"	"Middle"	"1"	"1"	"1"	"18"		"U stod inte med på parlappen i hyllan"																																																																																			
24	"Farallon-1-2018-3"	"1"	2018-5-12 00:00:00	2018-6-14 00:00:00	2018-7-4 00:00:00			"Blue"	"1"	"151"	"Inner/middle"	"1"	"2"	"1"	"20"																																																																																					
25	"Farallon-1-2018-4"	"1"	2018-5-12 00:00:00	2018-6-14 00:00:00	2018-7-4 00:00:00			"Blue"	"1"	"216"	"Inner"	"1"	"1"	"1"	"20"																																																																																					
26	"Farallon-3-2018-3"	"1"	2018-5-12 00:00:00	2018-6-15 00:00:00	2018-7-4 00:00:00			"Blue"	"1"	"221"	"Inner/middle"	"1"	"1"	"1"	"19"																																																																																					
27	"Rost-6-2018-3"	"1"	2018-5-30 00:00:00			2018-6-13 00:00:00		"Blue"	"0"	"120"	"Middle"	"1"	"NA"	"NA"	"NA"	2018-6-13 00:00:00	"Ä1 forlorat 13/6"																																																																																			
28	"Triangle-1-2018-4"	"1"	2018-6-18 00:00:00			2018-7-11 00:00:00		"Blue"	"0"	"218"	"Outer"	"1"	"NA"	"NA"	"NA"	2018-7-11 00:00:00	"Ä1 forlorat 11/7"																																																																																			
29	"Triangle-2-2018-3"	"1"	2018-5-16 00:00:00	2018-6-17 00:00:00	2018-7-4 00:00:00			"Blue"	"1"	"251"	"NA"	"1"	"3"	"1"	"17"																																																																																					
30	"Farallon-3-2010-5"	"1"	2010-6-1 00:00:00			2010-6-3 00:00:00		"Green"	"0"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	2010-6-30 00:00:00	"Ä1 borta 2010-06-03"																																																																																			
31	"Rost-3-2010-5"	"1"	2010-5-11 00:00:00	2010-6-13 00:00:00	2010-7-5 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"2"	"21"		"EM har vitkantade tertialer"																																																																																			
32	"Farallon-3-2011-4"	"1"	2011-5-10 00:00:00	2011-6-14 00:00:00	2011-6-20 00:00:00			"Green"	"0"	"NA"	"NA"	"1"	"2"	"NA"	"NA"		"U1 borta 2011-06-20 "																																																																																			
33	"Farallon-3-2011-3"	"1"	2011-5-9 00:00:00	2011-6-12 00:00:00	2011-7-1 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"6"	"1"	"19"		"Ä1 antecknat som forlorat 2011-05-27, ägg åter 2011-05-30, datum for U visar att Ä1 aldrig varit borta."																																																																																			
34	"Farallon-3-2011-5"	"1"	2011-5-19 00:00:00			2011-7-6 00:00:00		"Green"	"0"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	2011-7-6 00:00:00	"Ä1 borta 2011-07-06"																																																																																			
35	"Farallon-2-2011-1"	"1"	2011-5-20 00:00:00			2011-6-7 00:00:00		"Green"	"0"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	2011-6-7 00:00:00	"Ä1 borta 2011-06-07"																																																																																			
36	"Rost-2-2011-1"	"1"	2011-5-10 00:00:00			2011-6-10 00:00:00		"Green"	"0"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	2011-6-10 00:00:00	"Ä1 borta 2011-06-10"																																																																																			
37	"Farallon-3-2012-4"	"1"	2012-5-9 00:00:00	2012-6-12 00:00:00	2012-6-29 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"17"																																																																																					
38	"Farallon-3-2012-5"	"1"	2012-5-13 00:00:00			2012-6-23 00:00:00		"Green"	"0"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	2012-6-23 00:00:00	"Ä1 forlorat 120623"																																																																																			
39	"Rost-2-2012-1"	"1"	2012-5-9 00:00:00	2012-6-12 00:00:00	2012-7-1 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"19"																																																																																					
40	"Rost-2-2012-2"	"1"	2012-5-12 00:00:00	2012-6-14 00:00:00	2012-6-19 00:00:00			"Green"	"0"	"NA"	"NA"	"1"	"1"	"NA"	"NA"		"U forlorad 120619"																																																																																			
41	"Farallon-2-2013-1"	"1"	2013-5-16 00:00:00			2013-5-17 00:00:00		"Green"	"0"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	2013-5-17 00:00:00	"Ä1 forlorat 130517. ger nog upp efter forsta forsoket"																																																																																			
42	"Farallon-3-2013-1"	"1"	2013-5-8 00:00:00	2013-6-10 00:00:00	2013-6-30 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"NA"	"20"																																																																																					
43	"Farallon-3-2013-2"	"1"	2013-5-11 00:00:00	2013-6-13 00:00:00	2013-7-1 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"17"																																																																																					
44	"Farallon-3-2013-4"	"1"	2013-5-11 00:00:00	2013-6-14 00:00:00	2013-7-1 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"17"																																																																																					
45	"Farallon-3-2013-5"	"1"	2013-5-26 00:00:00	2013-6-22 00:00:00	2013-7-13 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"21"																																																																																					
46	"Rost-2-2013-1"	"1"	2013-5-7 00:00:00	2013-6-10 00:00:00	2013-7-1 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"20"																																																																																					
47	"Rost-2-2013-2"	"1"	2013-5-10 00:00:00	2013-6-11 00:00:00	2013-7-4 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"23"																																																																																					
48	"Rost-3-2013-1"	"1"	2013-5-9 00:00:00	2013-6-10 00:00:00	2013-7-1 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"NA"	"20"		"This chick was ringed on the north table on 120630 with STÅL ACD 877 and orange plastic ring with black letters UK0. "																																																																																			
49	"Bonden-4-2014-1"	"1"	2014-5-18 00:00:00			2014-6-27 00:00:00		"Green"	"0"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	2014-6-27 00:00:00	"Ä1 lost 27Jun"																																																																																			
50	"Farallon-1-2014-2"	"1"	2014-5-30 00:00:00			2014-6-25 00:00:00		"Green"	"0"	"NA"	"NA"	"2"	"NA"	"NA"	"NA"	2014-6-25 00:00:00	"Ä1 lost 25Jun"																																																																																			
51	"Farallon-3-2014-4"	"1"	2014-5-8 00:00:00			2014-7-2 00:00:00		"Green"	"0"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	2014-6-2 00:00:00	"Ä1 lost 2Jul"																																																																																			
52	"Farallon-3-2014-1"	"1"	2014-5-8 00:00:00	2014-6-11 00:00:00	2014-6-30 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"19"																																																																																					
53	"Rost-2-2014-1"	"1"	2014-4-30 00:00:00	2014-6-4 00:00:00	2014-6-27 00:00:00			"Green"	"1"	"NA"	"NA"	"4"	"1"	"NA"	"23"		"Ägg lagt innan obsstart. Exakthet ""4"" är en hoftning, forsta obs är 30/4"																																																																																			
54	"Rost-3-2014-1"	"1"	2014-5-4 00:00:00	2014-6-4 00:00:00	2014-6-26 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"2"	"21"																																																																																					
55	"Rost-3-2014-3"	"1"	2014-5-5 00:00:00	2014-6-7 00:00:00	2014-7-6 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"29"																																																																																					
56	"Bonden-4-2016-4"	"1"	2016-6-9 00:00:00	2016-7-13 00:00:00				"Green"	"NA"	"NA"	"NA"	"1"	"1"	"NA"	"3"		"Häckning ej avslutad 16/7, fortf unge. EJ MED I BERÄKNINGARNA!"																																																																																			
57	"Farallon-1-2016-2"	"1"	2016-5-9 00:00:00			2016-5-13 00:00:00		"Green"	"0"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	2016-5-13 00:00:00	"Ä1 forlorat 13/5"																																																																																			
58	"Farallon-3-2016-1"	"1"	2016-5-8 00:00:00	2016-6-11 00:00:00	2016-6-30 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"19"																																																																																					
59	"Farallon-3-2016-2"	"1"	2016-5-12 00:00:00	2016-6-12 00:00:00	2016-7-4 00:00:00			"Green"	"1"	"NA"	"NA"	"2"	"1"	"1"	"22"																																																																																					
60	"Farallon-3-2016-4"	"1"	2016-5-12 00:00:00	2016-6-14 00:00:00	2016-7-3 00:00:00			"Green"	"1"	"NA"	"NA"	"2"	"1"	"1"	"19"																																																																																					
61	"Farallon-3-2016-5"	"1"	2016-5-12 00:00:00	2016-6-13 00:00:00	2016-7-4 00:00:00			"Green"	"1"	"NA"	"NA"	"2"	"1"	"1"	"21"																																																																																					
62	"Farallon-3-2016-6"	"1"	2016-5-15 00:00:00	2016-6-17 00:00:00	2016-7-6 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"19"		"U märkt som YN:AR2 ACX882"																																																																																			
63	"Farallon-3-2016-7"	"1"	2016-5-15 00:00:00	2016-6-18 00:00:00	2016-7-7 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"19"		"U märkt som YN:AR3 ACX883"																																																																																			
64	"Farallon-4-2016-1"	"1"	2016-5-24 00:00:00	2016-6-25 00:00:00	2016-7-15 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"20"																																																																																					
