Date;Video time;Individual;Egg/Chick underneath (Y/N);Sun/Shade/Both;Temp;Panting;Raised shoulders;Orientation towards sun;All;Comments;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;16:38:00;1;N;Sun;40;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;16:38:00;2;Y;Both;40;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;16:38:00;3;N;Sun;40;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;16:38:00;4;Y;Both;40;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;16:38:00;5;Y;Sun;40;1;1;1;1;Naturally has this position?;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;16:38:00;6;Y;Sun;40;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;16:38:00;7;Y;Sun;40;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;16:38:00;8;Y;Sun;40;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.20;16:38:00;9;Y;Sun;40;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;16:48:00;1;N;Sun;40,1;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;16:48:00;2;Y;Both;40,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;16:48:00;3;Y;Both;40,1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;16:48:00;4;Y;Sun;40,1;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;16:48:00;5;Y;Sun;40,1;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;16:48:00;6;Y;Sun;40,1;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
25.06.20;16:48:00;7;Y;Sun;40,1;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
