PairID;BrAttempt;EggDate;HatchDate;EggLossDate;ChickLossDate ;FledgeDate;BreedSucc
Bonden-1-2022-1;1;2022-05-08;2022-06-09;;;2022-06-30;1
Bonden-2-2022-1;1;2022-05-17;2022-06-18;;;2022-07-08;1
Bonden-3-2022-1;1;2022-05-16;2022-06-18;;;2022-07-08;1
Bonden-4-2022-1;1;2022-05-14;2022-06-16;;;2022-07-08;1
Bonden-4-2022-2;1;2022-05-18;2022-06-21;;2022-06-27;;0
Bonden-4-2022-3;1;2022-05-21;2022-06-23;;;2022-07-15;1
Bonden-4-2022-4;1;2022-05-21;2022-06-23;;;2022-07-12;1
Bonden-5-2022-1;1;2022-05-17;2022-06-19;;;2022-07-14;1
Bonden-5-2022-2;1;2022-05-20;2022-06-24;;;2022-07-13;1
Bonden-5-2022-3;1;2022-05-20;2022-06-22;;;2022-07-12;1
Bonden-5-2022-4;1;2022-05-31;;2022-06-26;;;0
Bonden-6-2022-1;1;2022-05-17;2022-06-19;;;2022-07-11;1
Bonden-6-2022-2;1;2022-05-18;2022-06-19;;;2022-07-16;1
Bonden-6-2022-3;1;2022-05-21;2022-06-23;;;2022-07-13;1
Bonden-6-2022-4;1;2022-05-23;2022-06-25;;2022-06-26;;0
Bonden-6-2022-5;1;2022-05-24;2022-06-26;;;2022-07-15;1
Farallon-1-2022-2;1;2022-05-17;;2022-05-18;;;0
Farallon-1-2022-3;1;2022-05-18;2022-06-20;;;2022-07-12;1
Farallon-1-2022-4;1;2022-05-23;2022-06-25;;;2022-07-15;1
Farallon-1-2022-5;1;2022-05-23;2022-06-25;;;2022-07-16;1
Farallon-2-2002-2;1;2022-05-18;2022-06-20;;;2022-07-13;1
Farallon-2-2022-1;1;2022-05-16;2022-06-18;;;2022-07-06;1
Farallon-2-2022-3;1;2022-05-18;2022-06-20;;;2022-07-12;1
Farallon-2-2022-4;1;2022-05-21;2022-06-25;;2022-07-04;;0
Farallon-2-2022-5;1;2022-05-27;2022-06-29;;2022-07-16;;0
Farallon-2-2022-6;1;2022-06-03;;2022-07-13;;;0
Farallon-3-2022-1;1;2022-05-12;2022-06-14;;;2022-07-08;1
Farallon-3-2022-2;1;2022-05-14;2022-06-15;;;2022-07-09;1
Farallon-3-2022-3;1;2022-05-14;2022-06-15;;;2022-07-08;1
Farallon-3-2022-4;1;2022-05-16;2022-06-17;;2022-06-26;;0
