PairID;BrAttempt;EggDate;HatchDate;ChickGoneDate;EggLossDate;BreedSucc
Bonden-1-2010-1;1;2010-05-05;2010-06-07;2010-06-26;;1
Rost-3-2010-5;1;2010-05-11;2010-06-13;2010-07-05;;1
Farallon-3-2010-1;1;2010-05-12;2010-06-16;2010-07-03;;1
Bonden-3-2010-1;1;2010-05-13;2010-06-13;2010-07-02;;1
Rost-3-2010-3;1;2010-05-14;2010-06-17;2010-07-13;;1
Farallon-3-2010-5;1;2010-06-01;;;2010-06-03;0
Bonden-1-2011-1;1;2011-05-07;2011-06-07;2011-06-27;;1
Rost-3-2011-2;1;2011-05-08;2011-06-10;2011-06-30;;1
Farallon-3-2011-3;1;2011-05-09;2011-06-12;2011-07-01;;1
Farallon-3-2011-4;1;2011-05-10;2011-06-14;2011-06-20;;0
Rost-2-2011-1;1;2011-05-10;;;2011-06-10;0
Bonden-3-2011-1;1;2011-05-11;2011-06-13;2011-07-05;;1
Rost-3-2011-5;1;2011-05-13;;;2011-06-15;0
Rost-3-2011-3;1;2011-05-14;2011-06-10;2011-07-05;;1
Bonden-2-2011-1;1;2011-05-17;;;2011-05-19;0
Farallon-3-2011-5;1;2011-05-19;;;2011-07-06;0
Farallon-2-2011-1;1;2011-05-20;;;2011-06-07;0
Rost-2-2011-2;1;2011-05-27;;;2011-06-07;0
Bonden-2-2011-1;2;2011-06-06;2011-07-07;2011-07-29;;1
Bonden-1-2012-1;1;2012-05-05;;;2012-06-08;0
Rost-3-2012-2;1;2012-05-07;;;2012-06-30;0
Bonden-3-2012-1;1;2012-05-07;2012-06-08;2012-06-28;;1
Rost-2-2012-3;1;2012-05-07;2012-06-09;2012-06-18;;0
Rost-3-2012-5;1;2012-05-07;2012-06-09;2012-07-02;;1
Rost-3-2012-1;1;2012-05-09;2012-06-11;2012-06-29;;1
Farallon-3-2012-4;1;2012-05-09;2012-06-12;2012-06-29;;1
Rost-2-2012-1;1;2012-05-09;2012-06-12;2012-07-01;;1
Bonden-2-2012-1;1;2012-05-10;2012-06-12;2012-07-04;;1
Farallon-3-2012-1;1;2012-05-10;2012-06-12;2012-07-04;;1
Rost-3-2012-3;1;2012-05-10;2012-06-12;2012-07-02;;1
Rost-2-2012-2;1;2012-05-12;2012-06-14;2012-06-19;;0
Farallon-3-2012-5;1;2012-05-13;;;2012-06-23;0
Bonden-1-2012-1;2;2012-05-22;2012-06-23;2012-07-12;;1
Bonden-1-2013-1;1;2013-05-04;2013-06-07;2013-06-29;;1
Rost-2-2013-3;1;2013-05-05;2013-06-08;2013-06-27;;1
Rost-2-2013-1;1;2013-05-07;2013-06-10;2013-07-01;;1
Bonden-3-2013-1;1;2013-05-07;2013-06-08;2013-06-27;;1
Rost-3-2013-2;1;2013-05-07;;;2013-06-27;0
Farallon-3-2013-1;1;2013-05-08;2013-06-10;2013-06-30;;1
Rost-3-2013-1;1;2013-05-09;2013-06-10;2013-07-01;;1
Rost-3-2013-3;1;2013-05-09;2013-06-09;2013-07-01;;1
Rost-2-2013-2;1;2013-05-10;2013-06-11;2013-07-04;;1
Rost-3-2013-5;1;2013-05-10;2013-06-12;2013-07-02;;1
Farallon-3-2013-2;1;2013-05-11;2013-06-13;2013-07-01;;1
Farallon-3-2013-4;1;2013-05-11;2013-06-14;2013-07-01;;1
Bonden-2-2013-1;1;2013-05-12;2013-06-14;2013-07-02;;1
Farallon-2-2013-1;1;2013-05-16;;;2013-05-17;0
Farallon-3-2013-3;1;2013-05-17;;;2013-05-23;0
Farallon-3-2013-5;1;2013-05-26;2013-06-22;2013-07-13;;1
Farallon-1-2013-1;1;2013-05-28;2013-06-29;2013-07-14;;1
Farallon-2-2013-2;1;2013-05-28;;;2013-06-28;0
Farallon-3-2013-3;2;2013-06-02;;;2013-06-22;0
Rost-2-2014-1;1;2014-04-30;2014-06-04;2014-06-27;;1
Bonden-1-2014-1;1;2014-04-30;2014-06-01;2014-06-25;;1
Rost-3-2014-5;1;2014-05-02;2014-06-04;2014-06-26;;1
Rost-2-2014-2;1;2014-05-03;2014-06-06;2014-06-28;;1
Rost-3-2014-1;1;2014-05-04;2014-06-04;2014-06-26;;1
Rost-3-2014-3;1;2014-05-05;2014-06-07;2014-07-06;;1
Rost-3-2014-2;1;2014-05-06;2014-06-09;2014-06-28;;1
Bonden-3-2014-1;1;2014-05-07;2014-06-08;2014-06-30;;1
Farallon-3-2014-4;1;2014-05-08;;;2014-07-02;0
Farallon-3-2014-1;1;2014-05-08;2014-06-11;2014-06-30;;1
Farallon-3-2014-2;1;2014-05-09;2014-06-11;2014-07-01;;1
Farallon-1-2014-1;1;2014-05-11;2014-06-12;2014-06-28;;1
Triangle-3-2014-1;1;2014-05-12;;;2014-06-30;0
Farallon-3-2014-5;1;2014-05-13;2014-06-15;2014-07-05;;1
