PairID;BrAttempt;EggDate;HatchDate;ChickGoneDate;EggLossDate;FailureCause;BreedSucc;EggPosX;EggPosY;EggExact;HatchExact;FledgeExact;ChickMinAge;Comment
Bonden-1-2010-1;1;2010-05-05;2010-06-07;2010-06-26;;;1;NA;NA;1;1;1;19;
Rost-3-2010-5;1;2010-05-11;2010-06-13;2010-07-05;;;1;NA;NA;1;1;2;21;EM har vitkantade tertialer
Rost-2-2010-1;1;2010-05-11;;;2010-05-12;Kamerauppsättning;0;NA;NA;2;NA;NA;NA;Ä1 borta 2010-05-12 (på em) pga kamerauppsättning
Farallon-3-2010-1;1;2010-05-12;2010-06-16;2010-07-03;;;1;NA;NA;1;1;1;17;EM har skada på underdelen av näbben
Bonden-3-2010-1;1;2010-05-13;2010-06-13;2010-07-02;;;1;NA;NA;4;1;1;19;U ringmärkt ABP733 / STÅL R33, vikt 235 g
Rost-3-2010-3;1;2010-05-14;2010-06-17;2010-07-13;;;1;NA;NA;1;2;1;26;
Farallon-3-2010-5;1;2010-06-01;;;2010-06-03;;0;NA;NA;1;NA;NA;NA;Ä1 borta 2010-06-03
Bonden-1-2011-1;1;2011-05-07;2011-06-07;2011-06-27;;;1;NA;NA;1;1;1;20;
Rost-3-2011-2;1;2011-05-08;2011-06-10;2011-06-30;;;1;NA;NA;1;1;1;20;
Farallon-3-2011-3;1;2011-05-09;2011-06-12;2011-07-01;;;1;NA;NA;1;6;1;19;Ä1 antecknat som förlorat 2011-05-27, ägg åter 2011-05-30, datum för U visar att Ä1 aldrig varit borta.
Farallon-3-2011-4;1;2011-05-10;2011-06-14;2011-06-20;;;0;NA;NA;1;2;NA;NA;U1 borta 2011-06-20 
Rost-2-2011-1;1;2011-05-10;;;2011-06-10;;0;NA;NA;1;NA;NA;NA;Ä1 borta 2011-06-10
Bonden-3-2011-1;1;2011-05-11;2011-06-13;2011-07-05;;;1;NA;NA;1;1;1;22;
Rost-3-2011-5;1;2011-05-13;;;2011-06-15;;0;NA;NA;1;NA;NA;NA;Ä1 trasigt 2011-06-15, såg ej ut att innehålla levande unge. Ä1 borta 2011-06-16
Rost-3-2011-3;1;2011-05-14;2011-06-10;2011-07-05;;;1;NA;NA;NA;3;1;25;
Bonden-2-2011-1;1;2011-05-17;;;2011-05-19;;0;NA;NA;NA;NA;NA;NA;Ä1 borta 2011-05-19. 
Farallon-3-2011-5;1;2011-05-19;;;2011-07-06;;0;NA;NA;1;NA;NA;NA;Ä1 borta 2011-07-06
Farallon-2-2011-1;1;2011-05-20;;;2011-06-07;;0;NA;NA;1;NA;NA;NA;Ä1 borta 2011-06-07
Rost-2-2011-2;1;2011-05-27;;;2011-06-07;;0;NA;NA;NA;NA;NA;NA;Ä1 borta 06-07
Bonden-2-2011-1;2;2011-06-06;2011-07-07;2011-07-29;;;1;NA;NA;3;1;1;22;
Bonden-1-2012-1;1;2012-05-05;;;2012-06-08;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 120608
Rost-3-2012-2;1;2012-05-07;;;2012-06-30;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 120630
Bonden-3-2012-1;1;2012-05-07;2012-06-08;2012-06-28;;;1;NA;NA;1;1;1;20;
Rost-2-2012-3;1;2012-05-07;2012-06-09;2012-06-18;;;0;NA;NA;1;1;NA;NA;U förlorad 120618. 
Rost-3-2012-5;1;2012-05-07;2012-06-09;2012-07-02;;;1;NA;NA;1;1;1;23;
Rost-3-2012-1;1;2012-05-09;2012-06-11;2012-06-29;;;1;NA;NA;1;1;1;18;
Farallon-3-2012-4;1;2012-05-09;2012-06-12;2012-06-29;;;1;NA;NA;1;1;1;17;
Rost-2-2012-1;1;2012-05-09;2012-06-12;2012-07-01;;;1;NA;NA;1;1;1;19;
Bonden-2-2012-1;1;2012-05-10;2012-06-12;2012-07-04;;;1;NA;NA;1;1;1;22;
Farallon-3-2012-1;1;2012-05-10;2012-06-12;2012-07-04;;;1;NA;NA;1;1;1;22;
Rost-3-2012-3;1;2012-05-10;2012-06-12;2012-07-02;;;1;NA;NA;1;1;1;20;
Rost-2-2012-2;1;2012-05-12;2012-06-14;2012-06-19;;;0;NA;NA;1;1;NA;NA;U förlorad 120619
Farallon-3-2012-5;1;2012-05-13;;;2012-06-23;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 120623
Bonden-1-2012-1;2;2012-05-22;2012-06-23;2012-07-12;;;1;NA;NA;1;1;1;19;
Bonden-1-2013-1;1;2013-05-04;2013-06-07;2013-06-29;;;1;NA;NA;1;1;1;22;
Rost-2-2013-3;1;2013-05-05;2013-06-08;2013-06-27;;;1;NA;NA;1;1;1;19;
Rost-2-2013-1;1;2013-05-07;2013-06-10;2013-07-01;;;1;NA;NA;1;1;1;20;
Bonden-3-2013-1;1;2013-05-07;2013-06-08;2013-06-27;;;1;NA;NA;1;1;1;19;
