Ledge;Date;Time;PairNr;Individual;Event;ArrNoFish;FishType;FishSize;DroppedFish;Comments
Röst_3;2020-07-06;15:00:00;1;F1;Start;;;;;has a chick
Röst_3;2020-07-06;15:00:00;2;F1;Start;;;;;has a chick
Röst_3;2020-07-06;15:00:00;3;F1;Start;;;;;has a chick
Röst_3;2020-07-06;15:00:00;4;F1;Start;;;;;has a chick
Röst_3;2020-07-06;15:00:00;5;F1;Start;;;;;
Röst_3;2020-07-06;15:00:00;3;F2;Start;;;;;
Röst_3;2020-07-06;15:00:00;5;F2;Start;;;;;
Röst_3;2020-07-06;15:10:28;3;F2;Takeover;;;;;
Röst_3;2020-07-06;15:11:07;3;F1;Takeover;;;;;
Röst_3;2020-07-06;15:18:56;1;F2;Arrival;;Clup;3;;
Röst_3;2020-07-06;15:34:23;1;F2;Takeover;;;;;
Röst_3;2020-07-06;15:39:03;1;F1;Departure;;;;;
Röst_3;2020-07-06;15:50:11;3;F2;Takeover;;;;;
Röst_3;2020-07-06;16:03:34;3;F1;Departure;;;;;
Röst_3;2020-07-06;16:10:43;5;F2;Departure;;;;;
Röst_3;2020-07-06;16:40:36;5;F2;Arrival;x;;;;
Röst_3;2020-07-06;17:01:54;3;F1;Arrival;;Clup;3;;
Röst_3;2020-07-06;17:01:57;3;F1;Takeover;;;;;
Röst_3;2020-07-06;17:13:21;3;F2;Takeover;;;;;
Röst_3;2020-07-06;17:19:08;3;F1;Takeover;;;;;
Röst_3;2020-07-06;17:25:44;5;F2;Takeover;;;;;
Röst_3;2020-07-06;17:29:30;5;F1;Departure;;;;;
Röst_3;2020-07-06;17:42:38;4;F2;Arrival;;Clup;2;;
Röst_3;2020-07-06;17:57:53;4;F2;Takeover;;;;;
Röst_3;2020-07-06;17:59:23;4;F1;Takeover;;;;;
Röst_3;2020-07-06; 18:00:34;4;F2;Takeover;;;;;
Röst_3;2020-07-06;18:01:26;4;F1;Departure;;;;;
Röst_3;2020-07-06;18:12:57;3;F2;Takeover;;;;;
Röst_3;2020-07-06;18:16:34;3;F1;Takeover;;;;;
Röst_3;2020-07-06;18:24:23;3;F2;Departure;;;;;
Röst_3;2020-07-06;19:57:39;2;F2;Arrival;;Clup;3;;
Röst_3;2020-07-06;20:01:14;2;F2;Takeover;;;;;
Röst_3;2020-07-06;20:04:39;2;F1;Departure;;;;;
Röst_3;2020-07-06;20:23:36;4;F1;Arrival;;Clup;2;;
Röst_3;2020-07-06;20:53:48;4;F1;Takeover;;;;;
Röst_3;2020-07-06;20:57:01;4;F2;Takeover;;;;;
Röst_3;2020-07-06;20:57:38;4;F1;Takeover;;;;;
Röst_3;2020-07-06;20:57:56;4;F2;Takeover;;;;;
Röst_3;2020-07-06;20:59:06;4;F1;Departure;;;;;
;;;;;;;;;;
;;;;;;;;;;
