date;time;ledge;indiividual;sun_shade;temp;panting;raised_shoulders;orientation_sun
2020-05-18;20:16:00;Rost3;1;Shade;9.9;0;0;0
2020-05-18;20:16:00;Rost3;2;Shade;9.9;0;0;0
2020-05-18;20:16:00;Rost3;3;Shade;9.9;0;0;0
2020-05-18;20:16:00;Rost3;4;Shade;9.9;0;0;0
2020-05-18;20:16:00;Rost3;5;Shade;9.9;0;0;0
2020-05-18;20:16:00;Rost3;6;Sun;9.9;0;0;1
2020-05-19;15:12:00;Rost3;1;Shade;9.4;0;0;0
2020-05-19;15:12:00;Rost3;2;Shade;9.4;0;0;0
2020-05-19;15:12:00;Rost3;3;Shade;9.4;0;0;0
2020-05-19;15:12:00;Rost3;4;Shade;9.4;0;0;0
2020-05-19;15:12:00;Rost3;5;Shade;9.4;0;0;0
2020-05-19;15:12:00;Rost3;6;Shade;9.4;0;0;0
2020-05-19;15:12:00;Rost3;7;Shade;9.4;0;0;0
2020-05-20;15:00:00;Rost3;1;Shade;8.8;0;0;0
2020-05-20;15:00:00;Rost3;2;Shade;8.8;0;0;0
2020-05-20;15:00:00;Rost3;3;Shade;8.8;0;0;0
2020-05-20;15:00:00;Rost3;4;Shade;8.8;0;0;0
2020-05-20;15:00:00;Rost3;5;Shade;8.8;0;0;0
2020-05-20;15:00:00;Rost3;6;Shade;8.8;0;0;0
2020-05-20;15:00:00;Rost3;7;Shade;8.8;0;0;0
2020-05-20;15:00:00;Rost3;8;Shade;8.8;0;0;0
2020-05-23;20:22:00;Rost3;1;Shade;9.6;0;0;0
2020-05-23;20:22:00;Rost3;2;Shade;9.6;0;0;0
2020-05-23;20:22:00;Rost3;3;Shade;9.6;0;0;0
2020-05-23;20:22:00;Rost3;4;Shade;9.6;0;0;0
2020-05-23;20:22:00;Rost3;5;Shade;9.6;0;0;0
2020-05-23;20:22:00;Rost3;6;Shade;9.6;0;0;0
2020-05-23;20:22:00;Rost3;7;Shade;9.6;0;0;0
2020-05-23;20:22:00;Rost3;8;Shade;9.6;0;0;0
2020-05-25;19:58:00;Rost3;1;Shade;8.7;0;0;0
2020-05-25;19:58:00;Rost3;2;Shade;8.7;0;0;0
2020-05-25;19:58:00;Rost3;3;Shade;8.7;0;0;0
2020-05-25;19:58:00;Rost3;4;Shade;8.7;0;0;0
2020-05-25;19:58:00;Rost3;5;Shade;8.7;0;0;0
2020-07-06;17:36:00;Rost3;1;Both;16.4;0;0;0
2020-07-06;17:36:00;Rost3;2;Both;16.4;0;0;0
2020-07-06;17:36:00;Rost3;3;Shade;16.4;0;0;0
2020-07-06;17:36:00;Rost3;4;Shade;16.4;0;0;0
2020-07-06;17:36:00;Rost3;5;Shade;16.4;0;0;0
2020-07-06;17:36:00;Rost3;6;Shade;16.4;0;0;0
2020-07-06;17:36:00;Rost3;7;Shade;16.4;0;0;0
2020-07-06;17:36:00;Rost3;8;Shade;16.4;0;0;0
2020-06-01;16:12:00;Rost3;1;Shade;12.6;0;0;0
2020-06-01;16:12:00;Rost3;2;Shade;12.6;0;0;0
2020-06-01;16:12:00;Rost3;3;Shade;12.6;0;0;0
2020-06-01;16:12:00;Rost3;4;Shade;12.6;0;0;0
2020-06-01;16:12:00;Rost3;5;Shade;12.6;0;0;0
2020-06-01;16:12:00;Rost3;6;Shade;12.6;0;0;0
2020-06-01;16:12:00;Rost3;7;Shade;12.6;0;0;0
2020-06-20;16:12:00;Rost3;1;Sun;19.5;0;0;0
2020-06-20;16:12:00;Rost3;2;Sun;19.5;0;0;0
2020-06-20;16:12:00;Rost3;3;Shade;19.5;0;0;0
2020-06-20;16:12:00;Rost3;4;Shade;19.5;0;0;0
2020-06-20;16:12:00;Rost3;5;Shade;19.5;0;0;0
2020-06-20;16:12:00;Rost3;6;Shade;19.5;0;0;0
2020-06-20;16:12:00;Rost3;7;Shade;19.5;0;0;0
2020-06-20;16:12:00;Rost3;8;Shade;19.5;0;0;0
2020-06-08;16:06:00;Rost3;1;Shade;13.9;0;0;0
2020-06-08;16:06:00;Rost3;2;Shade;13.9;0;0;0
2020-06-08;16:06:00;Rost3;3;Shade;13.9;0;0;0
2020-06-08;16:06:00;Rost3;4;Shade;13.9;0;0;0
2020-06-08;16:06:00;Rost3;5;Shade;13.9;0;0;0
2020-06-08;16:06:00;Rost3;6;Shade;13.9;0;0;0
2020-06-08;16:06:00;Rost3;7;Shade;13.9;0;0;0
2020-06-08;16:06:00;Rost3;8;Shade;13.9;0;0;0
2020-06-08;16:06:00;Rost3;9;Shade;13.9;0;0;0
2020-07-10;18:30:00;Rost3;1;Shade;16.8;0;0;0
2020-07-10;18:30:00;Rost3;2;Shade;16.8;0;0;0
2020-07-10;18:30:00;Rost3;3;Shade;16.8;0;0;0
2020-07-10;18:30:00;Rost3;4;Shade;16.8;0;0;0
2020-07-10;18:30:00;Rost3;5;Shade;16.8;0;0;0
2020-07-05;19:10:00;Rost3;1;Shade;17.2;0;0;0
2020-07-05;19:10:00;Rost3;2;Shade;17.2;0;0;0
2020-07-05;19:10:00;Rost3;3;Both;17.2;0;0;0
2020-07-05;19:10:00;Rost3;4;Both;17.2;0;0;0
2020-07-05;19:10:00;Rost3;5;Sun;17.2;0;0;0
2020-07-05;19:10:00;Rost3;6;Both;17.2;0;0;0
2020-07-05;19:10:00;Rost3;7;Both;17.2;0;0;0
2020-05-28;17:56:00;Rost3;1;Sun;12.7;0;0;0
2020-05-28;17:56:00;Rost3;2;Shade;12.7;0;0;0
2020-05-28;17:56:00;Rost3;3;Shade;12.7;0;0;0
2020-05-28;17:56:00;Rost3;4;Shade;12.7;0;0;0
2020-05-28;17:56:00;Rost3;5;Shade;12.7;0;0;0
2020-05-28;17:56:00;Rost3;6;Shade;12.7;0;0;0
2020-05-28;17:56:00;Rost3;7;Shade;12.7;0;0;0
2020-05-25;17:38:00;Rost3;1;Shade;10.2;0;0;0
2020-05-25;17:38:00;Rost3;2;Both;10.2;0;0;0
2020-05-25;17:38:00;Rost3;3;Shade;10.2;0;0;0
2020-05-25;17:38:00;Rost3;4;Shade;10.2;0;0;0
2020-05-25;17:38:00;Rost3;5;Shade;10.2;0;0;0
2020-05-25;17:38:00;Rost3;6;Shade;10.2;0;0;0
2020-05-27;16:04:00;Rost3;1;Shade;13.5;0;0;0
2020-05-27;16:04:00;Rost3;2;Shade;13.5;0;0;0
2020-05-27;16:04:00;Rost3;3;Shade;13.5;0;0;0
2020-05-27;16:04:00;Rost3;4;Shade;13.5;0;0;0
2020-05-27;16:04:00;Rost3;5;Shade;13.5;0;0;0
2020-05-27;16:04:00;Rost3;6;Shade;13.5;0;0;0
2020-05-27;16:04:00;Rost3;7;Shade;13.5;0;0;0
2020-06-17;20:22:00;Rost3;1;Shade;20.1;0;0;0
2020-06-17;20:22:00;Rost3;2;Shade;20.1;0;0;0
2020-06-17;20:22:00;Rost3;3;Both;20.1;0;0;0
2020-06-17;20:22:00;Rost3;4;Shade;20.1;0;0;0
2020-06-17;20:22:00;Rost3;5;Both;20.1;0;0;0
2020-06-17;20:22:00;Rost3;6;Shade;20.1;0;0;0
2020-06-17;20:22:00;Rost3;7;Shade;20.1;0;0;0
2020-06-17;20:22:00;Rost3;8;Both;20.1;0;0;0
2020-06-14;20:20:00;Rost3;1;Shade;20.2;0;0;0
2020-06-14;20:20:00;Rost3;2;Shade;20.2;0;0;0
2020-06-14;20:20:00;Rost3;3;Both;20.2;0;0;0
2020-06-14;20:20:00;Rost3;4;Shade;20.2;0;0;0
2020-06-14;20:20:00;Rost3;5;Shade;20.2;0;0;0
2020-06-14;20:20:00;Rost3;6;Both;20.2;0;0;0
2020-06-14;20:20:00;Rost3;7;Shade;20.2;0;0;0
2020-06-20;20:32:00;Rost3;1;Shade;20.5;0;0;0
2020-06-20;20:32:00;Rost3;2;Shade;20.5;0;0;0
2020-06-20;20:32:00;Rost3;3;Shade;20.5;0;0;0
2020-06-20;20:32:00;Rost3;4;Both;20.5;0;0;0
2020-06-20;20:32:00;Rost3;5;Shade;20.5;0;0;0
2020-06-20;20:32:00;Rost3;6;Shade;20.5;0;0;0
2020-06-20;20:32:00;Rost3;7;Shade;20.5;0;0;0
2020-06-26;17:18:00;Rost3;1;Both;25.8;0;0;0
2020-06-26;17:18:00;Rost3;2;Sun;25.8;1;1;0
2020-06-26;17:18:00;Rost3;3;Shade;25.8;1;1;0
2020-06-26;17:18:00;Rost3;4;Shade;25.8;0;1;0
2020-06-26;17:18:00;Rost3;5;Shade;25.8;0;1;0
2020-06-26;17:18:00;Rost3;6;Shade;25.8;0;0;0
2020-06-26;17:18:00;Rost3;7;Shade;25.8;0;0;0
2020-06-28;19:00:00;Rost3;1;Shade;23.3;0;0;0
2020-06-28;19:00:00;Rost3;2;Shade;23.3;0;1;0
2020-06-28;19:00:00;Rost3;3;Shade;23.3;0;0;0
2020-06-28;19:00:00;Rost3;4;Shade;23.3;0;0;0
2020-06-28;19:00:00;Rost3;5;Shade;23.3;0;1;0
2020-06-28;19:00:00;Rost3;6;Shade;23.3;0;0;0
2020-06-29;16:18:00;Rost3;1;Both;21.3;0;0;0
2020-06-29;16:18:00;Rost3;2;Both;21.3;0;0;0
2020-06-29;16:18:00;Rost3;3;Both;21.3;0;0;0
2020-06-29;16:18:00;Rost3;4;Shade;21.3;0;0;0
2020-06-29;16:18:00;Rost3;5;Shade;21.3;0;0;0
2020-06-29;16:18:00;Rost3;6;Shade;21.3;0;0;0
2020-06-29;16:18:00;Rost3;7;Shade;21.3;0;0;0
2020-06-29;16:18:00;Rost3;8;Shade;21.3;0;0;0
2020-07-13;20:42:00;Rost3;1;Both;20;0;0;0
2020-07-13;20:42:00;Rost3;2;Both;20;0;0;0
2020-06-25;15:48:00;Rost3;1;Both;21.3;0;0;0
2020-06-25;15:48:00;Rost3;2;Both;21.3;0;0;0
2020-06-25;15:48:00;Rost3;3;Shade;21.3;0;0;0
2020-06-25;15:48:00;Rost3;4;Shade;21.3;0;0;0
2020-06-25;15:48:00;Rost3;5;Shade;21.3;0;0;0
2020-06-25;15:48:00;Rost3;6;Shade;21.3;0;0;0
2020-06-25;15:48:00;Rost3;7;Shade;21.3;0;0;0
2020-06-24;18:56:00;Rost3;1;Both;23.2;0;0;0
2020-06-24;18:56:00;Rost3;2;Both;23.2;0;1;0
2020-06-24;18:56:00;Rost3;3;Both;23.2;0;0;0
2020-06-24;18:56:00;Rost3;4;Both;23.2;0;1;0
2020-06-24;18:56:00;Rost3;5;Both;23.2;0;1;0
2020-06-24;18:56:00;Rost3;6;Both;23.2;0;0;0
2020-06-24;18:56:00;Rost3;7;Both;23.2;0;1;0
2020-06-24;18:56:00;Rost3;8;Both;23.2;0;1;0
2020-06-13;20:24:00;Rost3;1;Shade;21.8;0;0;0
2020-06-13;20:24:00;Rost3;2;Shade;21.8;0;0;0
2020-06-13;20:24:00;Rost3;3;Shade;21.8;0;0;0
2020-06-13;20:24:00;Rost3;4;Shade;21.8;0;0;0
2020-06-13;20:24:00;Rost3;5;Shade;21.8;0;0;0
2020-06-13;20:24:00;Rost3;6;Both;21.8;0;0;0
2020-05-18;20:46:00;Tri3;1;Shade;9.5;0;0;0
2020-05-18;20:46:00;Tri3;2;Shade;9.5;0;0;0
2020-05-18;20:46:00;Tri3;3;Shade;9.5;0;0;0
2020-05-18;20:46:00;Tri3;4;Shade;9.5;0;0;0
2020-05-18;20:46:00;Tri3;5;Shade;9.5;0;0;0
2020-05-18;20:46:00;Tri3;6;Shade;9.5;0;0;0
2020-05-18;20:46:00;Tri3;7;Shade;9.5;0;0;0
2020-05-20;15:04:00;Tri3;1;Both;9.7;0;0;0
2020-05-20;15:04:00;Tri3;2;Shade;9.7;0;0;0
2020-05-20;15:04:00;Tri3;3;Both;9.7;0;0;0
2020-05-23;16:22:00;Tri3;1;Shade;9.4;0;0;0
2020-05-23;16:22:00;Tri3;2;Shade;9.4;0;0;0
2020-05-23;16:22:00;Tri3;3;Shade;9.4;0;1;0
2020-05-23;16:22:00;Tri3;4;Shade;9.4;0;0;0
2020-05-23;16:22:00;Tri3;5;Shade;9.4;0;0;0
2020-05-23;16:22:00;Tri3;6;Shade;9.4;0;0;0
2020-05-23;16:22:00;Tri3;7;Shade;9.4;0;0;0
2020-05-25;19:42:00;Tri3;1;Shade;9.2;0;0;0
2020-05-25;19:42:00;Tri3;2;Shade;9.2;0;0;0
2020-05-25;19:42:00;Tri3;3;Shade;9.2;0;0;0
2020-05-25;19:42:00;Tri3;4;Shade;9.2;0;0;0
2020-06-11;17:18:00;Tri3;1;Shade;18.2;0;0;0
2020-06-11;17:18:00;Tri3;2;Shade;18.2;0;0;0
2020-06-11;17:18:00;Tri3;3;Shade;18.2;0;0;0
2020-06-11;17:18:00;Tri3;4;Shade;18.2;0;0;0
2020-06-11;17:18:00;Tri3;5;Shade;18.2;0;0;0
2020-06-23;15:14:00;Tri3;1;Sun;18.2;0;0;0
2020-06-23;15:14:00;Tri3;2;Both;18.2;0;0;0
2020-06-23;15:14:00;Tri3;3;Sun;18.2;0;0;0
2020-06-23;15:14:00;Tri3;4;Shade;18.2;0;0;0
2020-06-23;15:14:00;Tri3;5;Shade;18.2;0;0;0
2020-06-23;15:14:00;Tri3;6;Both;18.2;0;0;0
2020-06-23;15:14:00;Tri3;7;Both;18.2;0;0;0
2020-06-01;15:24:00;Tri3;1;Both;15.3;0;0;0
2020-06-01;15:24:00;Tri3;2;Sun;15.3;0;0;0
2020-06-01;15:24:00;Tri3;3;Sun;15.3;0;0;0
2020-06-01;15:24:00;Tri3;4;Both;15.3;0;0;0
2020-06-01;15:24:00;Tri3;5;Shade;15.3;0;0;0
2020-06-01;15:24:00;Tri3;6;Both;15.3;0;0;0
2020-06-01;15:24:00;Tri3;7;Sun;15.3;0;0;0
2020-06-01;15:24:00;Tri3;8;Both;15.3;0;0;0
2020-05-19;20:20:00;Tri3;1;Shade;12.7;0;0;0
2020-05-19;20:20:00;Tri3;2;Shade;12.7;0;0;0
2020-05-19;20:20:00;Tri3;3;Shade;12.7;0;0;0
2020-05-19;20:20:00;Tri3;4;Shade;12.7;0;0;0
2020-06-05;20:50:00;Tri3;1;Shade;13.2;0;0;0
2020-06-05;20:50:00;Tri3;2;Shade;13.2;0;1;0
2020-06-05;20:50:00;Tri3;3;Shade;13.2;0;0;0
2020-06-05;20:50:00;Tri3;4;Shade;13.2;0;1;0
2020-06-09;15:16:00;Tri3;1;Both;18.4;0;0;0
2020-06-09;15:16:00;Tri3;2;Sun;18.4;0;0;0
2020-06-09;15:16:00;Tri3;3;Both;18.4;0;0;0
2020-07-12;18:42:00;Tri3;1;Shade;19.1;0;0;0
2020-07-04;18:38:00;Tri3;1;Shade;15.3;0;0;0
2020-07-04;18:38:00;Tri3;2;Shade;15.3;0;0;0
2020-07-04;18:38:00;Tri3;3;Shade;15.3;0;0;0
2020-07-04;18:38:00;Tri3;4;Shade;15.3;0;0;0
